=== softmax trace+probe run_id=9dlfyieq train_id=3ilw1l9s ===


########################################
# CHECKPOINT EPISODE 0
########################################
[t=000 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=001 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=002 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=003 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=004 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=005 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=006 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=007 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=008 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=009 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=010 ep=00] state={"_env_class": "TMaze", "position": 1, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=+0.0000 done=False | obs=argmax=2 vec=[0.0, 0.0, 1.0, 0.0] | belief=dim=106 top=[1:1.0000, 0:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=011 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 1, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=+0.0000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=012 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=013 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=014 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=015 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=016 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=017 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=018 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=019 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=020 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=021 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=022 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=023 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=024 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=025 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=026 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=027 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=028 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=029 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=030 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=031 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=032 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=033 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=034 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=035 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=036 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=037 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=038 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=039 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=040 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=041 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
