=== softmax trace+probe run_id=vepscii4 train_id=3ilw1l9s ===


########################################
# CHECKPOINT EPISODE 0
########################################
[t=000 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=001 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=002 ep=00] state={"_env_class": "TMaze", "position": 1, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=+0.0000 done=False | obs=argmax=2 vec=[0.0, 0.0, 1.0, 0.0] | belief=dim=106 top=[1:1.0000, 0:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=003 ep=00] state={"_env_class": "TMaze", "position": 2, "last_position": 1, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=+0.0000 done=False | obs=argmax=2 vec=[0.0, 0.0, 1.0, 0.0] | belief=dim=106 top=[1:0.6667, 2:0.3333, 0:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=004 ep=00] state={"_env_class": "TMaze", "position": 1, "last_position": 2, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=+0.0000 done=False | obs=argmax=2 vec=[0.0, 0.0, 1.0, 0.0] | belief=dim=106 top=[1:0.8077, 2:0.1538, 3:0.0385, 0:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=005 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 1, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=+0.0000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=006 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=007 ep=00] state={"_env_class": "TMaze", "position": 1, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=+0.0000 done=False | obs=argmax=2 vec=[0.0, 0.0, 1.0, 0.0] | belief=dim=106 top=[1:1.0000, 0:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=008 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 1, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=+0.0000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=009 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
[t=010 ep=00] state={"_env_class": "TMaze", "position": 0, "last_position": 0, "goal_up": true, "length": 50, "stochasticity": 0.2} | a=2(LEFT)[greedy] | r=-0.1000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0, 0.0] | belief=dim=106 top=[0:1.0000, 1:0.0000, 2:0.0000, 3:0.0000, 4:0.0000, 5:0.0000, 6:0.0000, 7:0.0000]
