=== softmax trace+probe run_id=1xhhbu2w train_id=pjmvisza ===


########################################
# CHECKPOINT EPISODE 0
########################################
[t=000 ep=00] state={"_env_class": "Tiger", "tiger_left": false, "terminal": false} | a=0(LISTEN)[greedy] | r=-1.0000 done=False | obs=argmax=1 vec=[0.0, 1.0, 0.0] | belief=dim=2 full=[0.030201341956853867, 0.9697986841201782]
[t=001 ep=00] state={"_env_class": "Tiger", "tiger_left": false, "terminal": false} | a=0(LISTEN)[greedy] | r=-1.0000 done=False | obs=argmax=1 vec=[0.0, 1.0, 0.0] | belief=dim=2 full=[0.005465586669743061, 0.994534432888031]
[t=002 ep=00] state={"_env_class": "Tiger", "tiger_left": false, "terminal": false} | a=0(LISTEN)[greedy] | r=-1.0000 done=False | obs=argmax=1 vec=[0.0, 1.0, 0.0] | belief=dim=2 full=[0.0009688762365840375, 0.999031126499176]
[t=003 ep=00] state={"_env_class": "Tiger", "tiger_left": false, "terminal": false} | a=0(LISTEN)[greedy] | r=-1.0000 done=False | obs=argmax=1 vec=[0.0, 1.0, 0.0] | belief=dim=2 full=[0.00017111469060182571, 0.9998288750648499]
[t=004 ep=00] state={"_env_class": "Tiger", "tiger_left": false, "terminal": false} | a=0(LISTEN)[greedy] | r=-1.0000 done=False | obs=argmax=1 vec=[0.0, 1.0, 0.0] | belief=dim=2 full=[3.0200966648408212e-05, 0.9999697804450989]
[t=005 ep=00] state={"_env_class": "Tiger", "tiger_left": false, "terminal": false} | a=0(LISTEN)[greedy] | r=-1.0000 done=False | obs=argmax=1 vec=[0.0, 1.0, 0.0] | belief=dim=2 full=[5.3297148951969575e-06, 0.999994695186615]
[t=006 ep=00] state={"_env_class": "Tiger", "tiger_left": false, "terminal": false} | a=0(LISTEN)[greedy] | r=-1.0000 done=False | obs=argmax=1 vec=[0.0, 1.0, 0.0] | belief=dim=2 full=[9.40542008720513e-07, 0.9999990463256836]
[t=007 ep=00] state={"_env_class": "Tiger", "tiger_left": false, "terminal": false} | a=0(LISTEN)[greedy] | r=-1.0000 done=False | obs=argmax=1 vec=[0.0, 1.0, 0.0] | belief=dim=2 full=[1.6597813612406753e-07, 0.9999998211860657]
[t=008 ep=00] state={"_env_class": "Tiger", "tiger_left": false, "terminal": false} | a=0(LISTEN)[greedy] | r=-1.0000 done=False | obs=argmax=1 vec=[0.0, 1.0, 0.0] | belief=dim=2 full=[2.9290264436099278e-08, 1.0]
[t=009 ep=00] state={"_env_class": "Tiger", "tiger_left": false, "terminal": false} | a=0(LISTEN)[greedy] | r=-1.0000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0] | belief=dim=2 full=[1.6597813612406753e-07, 0.9999998211860657]
[t=010 ep=00] state={"_env_class": "Tiger", "tiger_left": false, "terminal": false} | a=0(LISTEN)[greedy] | r=-1.0000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0] | belief=dim=2 full=[9.405420655639318e-07, 0.9999990463256836]
[t=011 ep=00] state={"_env_class": "Tiger", "tiger_left": false, "terminal": false} | a=0(LISTEN)[greedy] | r=-1.0000 done=False | obs=argmax=1 vec=[0.0, 1.0, 0.0] | belief=dim=2 full=[1.6597813612406753e-07, 0.9999998211860657]
[t=012 ep=00] state={"_env_class": "Tiger", "tiger_left": false, "terminal": false} | a=0(LISTEN)[greedy] | r=-1.0000 done=False | obs=argmax=1 vec=[0.0, 1.0, 0.0] | belief=dim=2 full=[2.9290264436099278e-08, 1.0]
[t=013 ep=00] state={"_env_class": "Tiger", "tiger_left": false, "terminal": false} | a=0(LISTEN)[greedy] | r=-1.0000 done=False | obs=argmax=1 vec=[0.0, 1.0, 0.0] | belief=dim=2 full=[5.16887022072865e-09, 1.0]
[t=014 ep=00] state={"_env_class": "Tiger", "tiger_left": false, "terminal": false} | a=0(LISTEN)[greedy] | r=-1.0000 done=False | obs=argmax=1 vec=[0.0, 1.0, 0.0] | belief=dim=2 full=[9.12153574894603e-10, 1.0]
[t=015 ep=00] state={"_env_class": "Tiger", "tiger_left": false, "terminal": false} | a=0(LISTEN)[greedy] | r=-1.0000 done=False | obs=argmax=1 vec=[0.0, 1.0, 0.0] | belief=dim=2 full=[1.6096828037159838e-10, 1.0]
[t=016 ep=00] state={"_env_class": "Tiger", "tiger_left": false, "terminal": false} | a=0(LISTEN)[greedy] | r=-1.0000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0] | belief=dim=2 full=[9.12153574894603e-10, 1.0]
[t=017 ep=00] state={"_env_class": "Tiger", "tiger_left": false, "terminal": false} | a=0(LISTEN)[greedy] | r=-1.0000 done=False | obs=argmax=1 vec=[0.0, 1.0, 0.0] | belief=dim=2 full=[1.6096828037159838e-10, 1.0]
[t=018 ep=00] state={"_env_class": "Tiger", "tiger_left": false, "terminal": false} | a=0(LISTEN)[greedy] | r=-1.0000 done=False | obs=argmax=1 vec=[0.0, 1.0, 0.0] | belief=dim=2 full=[2.8406166308059255e-11, 1.0]
[t=019 ep=00] state={"_env_class": "Tiger", "tiger_left": false, "terminal": false} | a=0(LISTEN)[greedy] | r=-1.0000 done=False | obs=argmax=1 vec=[0.0, 1.0, 0.0] | belief=dim=2 full=[5.012852979935367e-12, 1.0]
[t=020 ep=00] state={"_env_class": "Tiger", "tiger_left": false, "terminal": false} | a=0(LISTEN)[greedy] | r=-1.0000 done=False | obs=argmax=1 vec=[0.0, 1.0, 0.0] | belief=dim=2 full=[8.846210981620917e-13, 1.0]
[t=021 ep=00] state={"_env_class": "Tiger", "tiger_left": false, "terminal": false} | a=0(LISTEN)[greedy] | r=-1.0000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0] | belief=dim=2 full=[5.012852979935367e-12, 1.0]
[t=022 ep=00] state={"_env_class": "Tiger", "tiger_left": false, "terminal": false} | a=0(LISTEN)[greedy] | r=-1.0000 done=False | obs=argmax=1 vec=[0.0, 1.0, 0.0] | belief=dim=2 full=[8.846210981620917e-13, 1.0]
[t=023 ep=00] state={"_env_class": "Tiger", "tiger_left": false, "terminal": false} | a=0(LISTEN)[greedy] | r=-1.0000 done=False | obs=argmax=1 vec=[0.0, 1.0, 0.0] | belief=dim=2 full=[1.561096087468461e-13, 1.0]
[t=024 ep=00] state={"_env_class": "Tiger", "tiger_left": false, "terminal": false} | a=0(LISTEN)[greedy] | r=-1.0000 done=False | obs=argmax=1 vec=[0.0, 1.0, 0.0] | belief=dim=2 full=[2.7548753886831936e-14, 1.0]
[t=025 ep=00] state={"_env_class": "Tiger", "tiger_left": false, "terminal": false} | a=0(LISTEN)[greedy] | r=-1.0000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0] | belief=dim=2 full=[1.561096087468461e-13, 1.0]
[t=026 ep=00] state={"_env_class": "Tiger", "tiger_left": false, "terminal": false} | a=0(LISTEN)[greedy] | r=-1.0000 done=False | obs=argmax=1 vec=[0.0, 1.0, 0.0] | belief=dim=2 full=[2.7548753886831936e-14, 1.0]
[t=027 ep=00] state={"_env_class": "Tiger", "tiger_left": false, "terminal": false} | a=0(LISTEN)[greedy] | r=-1.0000 done=False | obs=argmax=1 vec=[0.0, 1.0, 0.0] | belief=dim=2 full=[4.8615447537331095e-15, 1.0]
[t=028 ep=00] state={"_env_class": "Tiger", "tiger_left": false, "terminal": false} | a=0(LISTEN)[greedy] | r=-1.0000 done=False | obs=argmax=1 vec=[0.0, 1.0, 0.0] | belief=dim=2 full=[8.57919649967123e-16, 1.0]
[t=029 ep=00] state={"_env_class": "Tiger", "tiger_left": false, "terminal": false} | a=0(LISTEN)[greedy] | r=-1.0000 done=False | obs=argmax=1 vec=[0.0, 1.0, 0.0] | belief=dim=2 full=[1.5139758373126997e-16, 1.0]
[t=030 ep=00] state={"_env_class": "Tiger", "tiger_left": false, "terminal": false} | a=0(LISTEN)[greedy] | r=-1.0000 done=False | obs=argmax=1 vec=[0.0, 1.0, 0.0] | belief=dim=2 full=[2.6717220755774773e-17, 1.0]
[t=031 ep=00] state={"_env_class": "Tiger", "tiger_left": false, "terminal": false} | a=0(LISTEN)[greedy] | r=-1.0000 done=False | obs=argmax=1 vec=[0.0, 1.0, 0.0] | belief=dim=2 full=[4.71480376009915e-18, 1.0]
[t=032 ep=00] state={"_env_class": "Tiger", "tiger_left": false, "terminal": false} | a=0(LISTEN)[greedy] | r=-1.0000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0] | belief=dim=2 full=[2.6717220755774773e-17, 1.0]
[t=033 ep=00] state={"_env_class": "Tiger", "tiger_left": false, "terminal": false} | a=0(LISTEN)[greedy] | r=-1.0000 done=False | obs=argmax=1 vec=[0.0, 1.0, 0.0] | belief=dim=2 full=[4.71480376009915e-18, 1.0]
[t=034 ep=00] state={"_env_class": "Tiger", "tiger_left": false, "terminal": false} | a=0(LISTEN)[greedy] | r=-1.0000 done=False | obs=argmax=1 vec=[0.0, 1.0, 0.0] | belief=dim=2 full=[8.320241686298319e-19, 1.0]
[t=035 ep=00] state={"_env_class": "Tiger", "tiger_left": false, "terminal": false} | a=0(LISTEN)[greedy] | r=-1.0000 done=False | obs=argmax=0 vec=[1.0, 0.0, 0.0] | belief=dim=2 full=[4.71480376009915e-18, 1.0]
[t=036 ep=00] state={"_env_class": "Tiger", "tiger_left": false, "terminal": false} | a=0(LISTEN)[greedy] | r=-1.0000 done=False | obs=argmax=1 vec=[0.0, 1.0, 0.0] | belief=dim=2 full=[8.320241686298319e-19, 1.0]
